Sampling Date,Sample Site,Filt.Vol (L),Lat,Long,13C,15N ,POC (mg/m3),PON (mg/m3),Temp C (ITS90),Sal,DIC (UMOL/KG),TA (UMOL/KG),pH,Chl (ug/L),NTU,PRCP,Wind,SSH_A
7/6/2018,AB,2,17.954,-67.051,-25,8.627,110.626,12.028,29.09,35.84,2143,2344,7.95,0.314,1.224,0,,0.205
7/6/2018,AB,2,17.954,-67.051,-24,7.425,119.682,15.362,29.09,35.84,2143,2344,7.95,0.314,1.224,0,,0.205
7/6/2018,AB,2,17.954,-67.051,-24,3.648,98.101,12.888,29.09,35.84,2143,2344,7.95,0.314,1.224,0,,0.205
7/20/2018,AB,2.5,17.954,-67.051,-22,11.68,116.716,16.965,28.82,35.29,2106,2325,7.99,0.325,1.511,0,,
7/20/2018,AB,2.5,17.954,-67.051,-24,11.421,109.212,18.702,28.82,35.29,2106,2325,7.99,0.325,1.511,0,,
7/20/2018,AB,2.5,17.954,-67.051,-24,11.511,97.593,17.517,28.82,35.29,2106,2325,7.99,0.325,1.511,0,,
8/3/2018,AB,2.5,17.954,-67.051,-23,6.229,78.013,12.81,28.88,35.55,2104,2349,7.98,0.342,1.588,0,,
8/3/2018,AB,2.5,17.954,-67.051,-23,4.331,78.842,13.903,28.88,35.55,2104,2349,7.98,0.342,1.588,0,,
8/3/2018,AB,2.5,17.954,-67.051,-23,4.406,75.87,13.209,28.88,35.55,2104,2349,7.98,0.342,1.588,0,,
8/16/2018,AB,2.5,17.954,-67.051,-24,5.417,86.006,11.108,29.22,35.25,2069,2319,7.98,0.296,0.912,0,,
8/16/2018,AB,2.5,17.954,-67.051,-25,4.134,101.635,11.941,29.22,35.25,2069,2319,7.98,0.296,0.912,0,,
8/16/2018,AB,2.5,17.954,-67.051,-25,5.426,89.867,12.903,29.22,35.25,2069,2319,7.98,0.296,0.912,0,,
8/30/2018,AB,2.5,17.954,-67.051,-25,9.972,147.137,13.135,29.25,35.18,2126,2345,7.92,0.346,1.19,0,,
8/30/2018,AB,2.5,17.954,-67.051,-27,4.794,147.066,14.143,29.25,35.18,2126,2345,7.92,0.346,1.19,0,,
8/30/2018,AB,2.5,17.954,-67.051,-25,6.051,116.486,12.031,29.25,35.18,2126,2345,7.92,0.346,1.19,0,,
10/3/2018,AB,2.5,17.954,-67.051,-23,3.649,114.832,14.677,29.56,34.38,2043,-999,7.97,0.349,1.059,0,,
10/3/2018,AB,2.5,17.954,-67.051,-23,2.869,143.118,20.682,29.56,34.38,2043,-999,7.97,0.349,1.059,0,,
10/3/2018,AB,2.5,17.954,-67.051,-24,4.063,181.543,19.9,29.56,34.38,2043,-999,7.97,0.349,1.059,0,,
10/19/2018,AB,2,17.954,-67.051,-56,6.131,132.311,16.78,28.88,34.54,2058,-999,7.95,,,0,,
10/19/2018,AB,2,17.954,-67.051,-22,5.948,127.699,18.433,28.88,34.54,2058,-999,7.95,,,0,,
10/19/2018,AB,2,17.954,-67.051,-22,3.676,130.147,14.793,28.88,34.54,2058,-999,7.95,,,0,,
11/7/2018,AB,2.5,17.954,-67.051,-22,3.755,92.887,16.564,29.07,33.92,-999,-999,7.99,0.429,1.064,0,,
11/7/2018,AB,2.5,17.954,-67.051,-23,5.559,95.972,14.249,29.07,33.92,-999,-999,7.99,0.429,1.064,0,,
11/7/2018,AB,2.5,17.954,-67.051,-23,4.369,115.934,16.999,29.07,33.92,-999,-999,7.99,0.429,1.064,0,,
11/29/2018,AB,2,17.954,-67.051,-23,4.432,167.205,15.581,28.42,33.79,-999,-999,7.97,0.442,1.504,0,,
11/29/2018,AB,2,17.954,-67.051,-21,4.455,144.999,16.38,28.42,33.79,-999,-999,7.97,0.442,1.504,0,,
11/29/2018,AB,2,17.954,-67.051,-22,3.302,151.453,15.941,28.42,33.79,-999,-999,7.97,0.442,1.504,0,,
12/13/2018,AB,2.5,17.954,-67.051,-23,5.24,136.41,16.471,27.34,34.08,-999,-999,7.99,0.346,1.246,0,,
12/13/2018,AB,2.5,17.954,-67.051,-22,3.97,117.096,18.892,27.34,34.08,-999,-999,7.99,0.346,1.246,0,,
12/13/2018,AB,2.5,17.954,-67.051,-23,4.376,96.629,14.584,27.34,34.08,-999,-999,7.99,0.346,1.246,0,,
1/21/2019,AB,2,17.954,-67.051,-23,3.803,104.624,19.744,26.23,34.91,-999,-999,8,0.367,1.499,0,,
1/21/2019,AB,2,17.954,-67.051,-24,3.367,130.262,17.587,26.23,34.91,-999,-999,8,0.367,1.499,0,,
1/21/2019,AB,2,17.954,-67.051,-23,4.291,104.655,17.203,26.23,34.91,-999,-999,8,0.367,1.499,0,,
1/21/2019,AB,2,17.954,-67.051,-24,3.275,123.47,17.977,26.23,34.91,-999,-999,8,0.367,1.499,0,,
1/21/2019,AB,2,17.954,-67.051,-22,5.006,88.19,14.048,26.23,34.91,-999,-999,8,0.367,1.499,0,,
1/21/2019,AB,2,17.954,-67.051,-23,3.658,126.445,17.545,26.23,34.91,-999,-999,8,0.367,1.499,0,,
2/6/2019,AB,2,17.954,-67.051,-25,3.642,83.613,13.869,26.46,35.17,-999,-999,8.03,0.275,1.099,0,,
2/6/2019,AB,2,17.954,-67.051,-25,4.799,78.843,12.7,26.46,35.17,-999,-999,8.03,0.275,1.099,0,,
2/6/2019,AB,2,17.954,-67.051,-25,3.739,72.18,12.226,26.46,35.17,-999,-999,8.03,0.275,1.099,0,,
3/7/2019,AB,2,17.954,-67.051,-17,14.71,110.647,12.267,26.73,35.66,-999,-999,8.02,0.33,1.728,0,,
3/7/2019,AB,2,17.954,-67.051,-17,3.679,126.345,13.689,26.73,35.66,-999,-999,8.02,0.33,1.728,0,,
3/7/2019,AB,2,17.954,-67.051,-17,2.704,133.265,13.729,26.73,35.66,-999,-999,8.02,0.33,1.728,0,,
3/22/2019,AB,2,17.954,-67.051,-25,6.121,86.833,9.169,27.05,35.77,2437,2332,8.04,0.317,1.412,0,,
3/22/2019,AB,2,17.954,-67.051,-24,7.056,71.327,8.961,27.05,35.77,2437,2332,8.04,0.317,1.412,0,,
3/22/2019,AB,2,17.954,-67.051,-22,8.834,77.473,11.368,27.05,35.77,2437,2332,8.04,0.317,1.412,0,,
4/2/2019,AB,2,17.954,-67.051,-22,3.192,104.18,14.222,27.97,35.85,2022,2320,8.01,0.314,1.183,0,,
4/2/2019,AB,2,17.954,-67.051,-22,4.046,113.467,14.798,27.97,35.85,2022,2320,8.01,0.314,1.183,0,,
4/2/2019,AB,2,17.954,-67.051,-21,2.737,135.355,18.324,27.97,35.85,2022,2320,8.01,0.314,1.183,0,,
4/17/2019,AB,2,17.954,-67.051,-22,4.533,119.715,17.072,27.25,35.99,2023,2328,8.02,0.326,1.711,0,,
4/17/2019,AB,2,17.954,-67.051,-22,5.066,90.818,13.305,27.25,35.99,2023,2328,8.02,0.326,1.711,0,,
4/17/2019,AB,2,17.954,-67.051,-22,4.446,99.016,15.238,27.25,35.99,2023,2328,8.02,0.326,1.711,0,,
4/30/2019,AB,2,17.954,-67.051,-23,3.307,108.596,13.877,27.78,36.04,2015,2347,8.02,0.353,1.597,0,,
4/30/2019,AB,2,17.954,-67.051,-23,2.653,107.58,14.532,27.78,36.04,2015,2347,8.02,0.353,1.597,0,,
4/30/2019,AB,2,17.954,-67.051,-23,3.061,99.865,14.634,27.78,36.04,2015,2347,8.02,0.353,1.597,0,,
5/16/2019,AB,2,17.954,-67.051,20,-27.24,0.036,0.554,28.53,36.21,2028,2349,8.01,0.325,1.607,0,,
5/16/2019,AB,2,17.954,-67.051,-23,2.243,208.849,30.694,28.53,36.21,2028,2349,8.01,0.325,1.607,0,,
5/16/2019,AB,2,17.954,-67.051,-22,3.251,107.309,16.488,28.53,36.21,2028,2349,8.01,0.325,1.607,0,,
6/12/2019,AB,2,17.954,-67.051,-21,3.155,131.02,20.576,29.34,36.33,2052,2353,7.99,0.3,3.58,0,,
6/12/2019,AB,2,17.954,-67.051,-21,2.54,127.418,17.731,29.34,36.33,2052,2353,7.99,0.3,3.58,0,,
6/12/2019,AB,2,17.954,-67.051,-22,3.2,121.411,18.829,29.34,36.33,2052,2353,7.99,0.3,3.58,0,,
12/3/2020,AB,1,17.954,-67.051,-25,1.87,209.963,26.136,,,,,,,,,,
12/3/2020,AB,1,17.954,-67.051,-26,1.19,286.898,25.115,,,,,,,,,,
12/3/2020,AB,1,17.954,-67.051,-26,1.79,233.378,25.932,,,,,,,,,,
12/10/2020,AB,1,17.954,-67.051,-24,1.16,157.73,16.029,27.87,34.13,-999,2333,7.98,,,,,
12/10/2020,AB,1,17.954,-67.051,-24,2.18,162.876,21.235,27.87,34.13,-999,2333,7.98,,,,,
12/10/2020,AB,1,17.954,-67.051,-25,1.09,212.279,18.581,27.87,34.13,-999,2333,7.98,,,,,
12/15/2020,AB,1,17.954,-67.051,-24,1.44,134.315,20.827,,,,,,,,,,
12/15/2020,AB,1,17.954,-67.051,-24,1.25,141.519,21.235,,,,,,,,,,
12/15/2020,AB,1,17.954,-67.051,-24,1.84,131.999,23.992,,,,,,,,,,
12/3/2020,AB_B,1,17.954,-67.051,NA,2.75,0,11.945,,,,,,,,,,
12/10/2020,AB_B,1,17.954,-67.051,NA,0.89,0,2.961,,,,,,,,,,
12/15/2020,AB_B,1,17.954,-67.051,-34,-1.62,48.117,2.144,,,,,,,,,,
12/5/2017,BB,1,17.9725,-67.0142,-21,3.588,511.554,64.048,,,,,,,,,,
12/5/2017,BB,1,17.9725,-67.0142,-22,3.331,444.946,69.329,,,,,,,,,,
12/5/2017,BB,1,17.9725,-67.0142,-22,8.18,431.686,55.801,,,,,,,,,,
7/6/2018,BB,1,17.9725,-67.0142,-18,7.615,646.707,80.426,29.85,36.88,2168,2323,7.76,,,0,,
7/6/2018,BB,1,17.9725,-67.0142,-18,9.145,763.74,83.257,29.85,36.88,2168,2323,7.76,,,0,,
7/6/2018,BB,1,17.9725,-67.0142,-18,6.741,633.507,68.765,29.85,36.88,2168,2323,7.76,,,0,,
7/20/2018,BB,1,17.9725,-67.0142,-18,5.66,613.019,79.964,30.09,36.67,2357,2527,7.61,,,0,,
7/20/2018,BB,1,17.9725,-67.0142,-18,9.747,595.862,70.619,30.09,36.67,2357,2527,7.61,,,0,,
7/20/2018,BB,1,17.9725,-67.0142,-18,9.191,485.052,60.889,30.09,36.67,2357,2527,7.61,,,0,,
8/3/2018,BB,1,17.9725,-67.0142,-20,6.992,347.695,56.356,29.51,36.53,2236,2411,7.82,,,0,,
8/3/2018,BB,1,17.9725,-67.0142,-20,6.606,351.02,66.991,29.51,36.53,2236,2411,7.82,,,0,,
8/3/2018,BB,1,17.9725,-67.0142,-21,6.596,348.956,58.06,29.51,36.53,2236,2411,7.82,,,0,,
8/16/2018,BB,1,17.9725,-67.0142,-21,4.752,242.487,35.666,30.24,36.77,2222,2367,7.7,,,0,,
8/16/2018,BB,1,17.9725,-67.0142,-22,3.673,236.546,36.382,30.24,36.77,2222,2367,7.7,,,0,,
8/16/2018,BB,1,17.9725,-67.0142,-23,3.411,244.782,34.638,30.24,36.77,2222,2367,7.7,,,0,,
8/30/2018,BB,1,17.9725,-67.0142,-73,10.832,231.39,41.616,29.83,36.28,2299,2428,7.64,,,0,,
8/30/2018,BB,1,17.9725,-67.0142,-22,4.15,215.613,34.46,29.83,36.28,2299,2428,7.64,,,0,,
8/30/2018,BB,1,17.9725,-67.0142,-22,5.346,186.85,32.823,29.83,36.28,2299,2428,7.64,,,0,,
10/3/2018,BB,1,17.9725,-67.0142,-21,8.419,276.301,36.763,29.86,35.38,-999,2506,7.59,,,0,,
10/3/2018,BB,1,17.9725,-67.0142,-22,9.749,270.719,37.438,29.86,35.38,-999,2506,7.59,,,0,,
10/3/2018,BB,1,17.9725,-67.0142,-21,8.195,279.749,45.946,29.86,35.38,-999,2506,7.59,,,0,,
10/19/2018,BB,1,17.9725,-67.0142,-22,7.397,623.955,105.221,28.4,35.16,2418,-999,7.45,,,0,,
10/19/2018,BB,1,17.9725,-67.0142,-22,3.455,700.899,126.583,28.4,35.16,2418,-999,7.45,,,0,,
10/19/2018,BB,1,17.9725,-67.0142,-22,4.739,579.647,96.053,28.4,35.16,2418,-999,7.45,,,0,,
11/7/2018,BB,1,17.9725,-67.0142,-22,6.599,377.153,71.098,29.21,34.91,-999,-999,7.73,,,0,,
11/7/2018,BB,1,17.9725,-67.0142,-22,9.238,387.881,63.563,29.21,34.91,-999,-999,7.73,,,0,,
11/7/2018,BB,1,17.9725,-67.0142,-22,6.138,340.628,54.22,29.21,34.91,-999,-999,7.73,,,0,,
11/29/2018,BB,1,17.9725,-67.0142,-21,6.445,551.576,69.391,28.93,36.14,-999,-999,7.71,,,0,,
11/29/2018,BB,1,17.9725,-67.0142,-21,7.77,550.876,65.379,28.93,36.14,-999,-999,7.71,,,0,,
11/29/2018,BB,1,17.9725,-67.0142,-21,8.211,492.227,83.449,28.93,36.14,-999,-999,7.71,,,0,,
12/13/2018,BB,1,17.9725,-67.0142,-21,7.767,313.427,46.786,27.61,35.98,-999,-999,7.76,,,0,,
12/13/2018,BB,1,17.9725,-67.0142,-20,6.048,335.915,45.216,27.61,35.98,-999,-999,7.76,,,0,,
12/13/2018,BB,1,17.9725,-67.0142,-21,5.388,290.826,35.582,27.61,35.98,-999,-999,7.76,,,0,,
2/6/2019,BB,1,17.9725,-67.0142,-26,2.522,278.814,47.267,26.91,36.15,-999,-999,7.94,,,0,,
2/6/2019,BB,1,17.9725,-67.0142,-23,5.615,269.77,51.159,26.91,36.15,-999,-999,7.94,,,0,,
2/6/2019,BB,1,17.9725,-67.0142,-23,2.53,252.792,53.792,26.91,36.15,-999,-999,7.94,,,0,,
3/7/2019,BB,1,17.9725,-67.0142,-21,6.453,482.384,84.27,27.54,36.47,-999,-999,7.82,,,0,,
3/7/2019,BB,1,17.9725,-67.0142,-18,3.994,503.985,87.961,27.54,36.47,-999,-999,7.82,,,0,,
3/7/2019,BB,1,17.9725,-67.0142,-17,5.899,475.424,91.606,27.54,36.47,-999,-999,7.82,,,0,,
3/22/2019,BB,0.7,17.9725,-67.0142,-21,6.387,428.793,83.044,28.23,36.4,2103,2274,7.7,,,0,,
3/22/2019,BB,0.7,17.9725,-67.0142,-20,5.175,451.639,93.351,28.23,36.4,2103,2274,7.7,,,0,,
3/22/2019,BB,0.7,17.9725,-67.0142,-20,6.463,442.142,81.779,28.23,36.4,2103,2274,7.7,,,0,,
4/2/2019,BB,0.5,17.9725,-67.0142,-22,1.687,744.621,165.43,29.54,36.78,2128,2325,7.76,,,0,,
4/2/2019,BB,0.5,17.9725,-67.0142,-21,2.222,755.421,162.871,29.54,36.78,2128,2325,7.76,,,0,,
4/2/2019,BB,0.5,17.9725,-67.0142,-21,2.208,792.65,170.086,29.54,36.78,2128,2325,7.76,,,0,,
4/17/2019,BB,1,17.9725,-67.0142,-20,3.553,413.814,73.44,28.33,36.91,2080,2294,7.9,,,0,,
4/17/2019,BB,1,17.9725,-67.0142,-20,3.366,399.363,66.788,28.33,36.91,2080,2294,7.9,,,0,,
4/17/2019,BB,1,17.9725,-67.0142,-21,3.618,432.261,62.255,28.33,36.91,2080,2294,7.9,,,0,,
4/30/2019,BB,1.25,17.9725,-67.0142,-21,2.568,376.963,73.473,28.95,37.33,2036,2324,7.95,,,0,,
4/30/2019,BB,2,17.9725,-67.0142,-23,2.656,184.583,27.828,28.95,37.33,2036,2324,7.95,,,0,,
4/30/2019,BB,1.5,17.9725,-67.0142,-21,2.622,296.439,56.425,28.95,37.33,2036,2324,7.95,,,0,,
